2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4844 Services                   0     11,392 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4872 Services                   0      3,480 K
2025-07-26 13:09:20 - 🪟 Running Process: spoolsv.exe                   4900 Services                   0      3,656 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4936 Services                   0     10,844 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5032 Services                   0      2,536 K
2025-07-26 13:09:20 - 🪟 Running Process: ETDService.exe                4372 Services                   0      1,220 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4200 Services                   0     15,904 K
2025-07-26 13:09:20 - 🪟 Running Process: nssm.exe                      4320 Services                   0        944 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4156 Services                   0     19,336 K
2025-07-26 13:09:20 - 🪟 Running Process: FNPLicensingService.exe       4600 Services                   0      5,752 K
2025-07-26 13:09:20 - 🪟 Running Process: esif_uf.exe                   4688 Services                   0        824 K
2025-07-26 13:09:20 - 🪟 Running Process: HPCommRecovery.exe            4152 Services                   0      6,456 K
2025-07-26 13:09:20 - 🪟 Running Process: OneApp.IGCC.WinService.ex     5132 Services                   0     10,456 K
2025-07-26 13:09:20 - 🪟 Running Process: IntelAudioService.exe         5168 Services                   0      3,600 K
2025-07-26 13:09:20 - 🪟 Running Process: UserAwarenessService.exe      5208 Services                   0     15,352 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5232 Services                   0      2,800 K
2025-07-26 13:09:20 - 🪟 Running Process: jhi_service.exe               5248 Services                   0         48 K
2025-07-26 13:09:20 - 🪟 Running Process: mysqld.exe                    5368 Services                   0      1,008 K
2025-07-26 13:09:20 - 🪟 Running Process: RtkAudUService64.exe          5544 Services                   0      4,108 K
