
--- Running Applications at 2025-07-26 10:23:17 ---

Image Name                     PID Session Name        Session#    Mem Usage
MsMpEng.exe                   2008 Services                   0   1,21,800 K
NisSrv.exe                   22968 Services                   0      2,124 K
svchost.exe                   9376 Services                   0      1,076 K
WindowsTerminal.exe          16480                           24         36 K
csrss.exe                    14988 Console                   27      1,540 K
winlogon.exe                  5984 Console                   27      1,924 K
dwm.exe                       2860 Console                   27     67,740 K
fontdrvhost.exe              11880 Console                   27        328 K
NVDisplay.Container.exe      12788 Console                   27      9,016 K
ETDCtrl.exe                   4104 Console                   27        772 K
sihost.exe                   24196 Console                   27     16,004 K
svchost.exe                  11208 Console                   27      4,048 K
svchost.exe                  11836 Console                   27        988 K
igfxEMN.exe                  18216 Console                   27        384 K
svchost.exe                   7744 Console                   27     10,052 K
taskhostw.exe                13448 Console                   27      3,852 K
explorer.exe                 19824 Console                   27   2,21,404 K
ShellHost.exe                 9776 Console                   27      5,100 K
UserAwarenessHelper.exe       7084 Console                   27      2,572 K
uihost.exe                   17228 Console                   27     10,408 K
SECOCL64.exe                  9284 Console                   27      1,332 K
conhost.exe                  13640 Console                   27        128 K
CrossDeviceResume.exe        17676 Console                   27      3,564 K
svchost.exe                   6812 Console                   27      9,324 K
StartMenuExperienceHost.e    13936 Console                   27     17,208 K
SearchHost.exe               12000 Console                   27     13,928 K
Widgets.exe                   6088 Console                   27     14,872 K
RuntimeBroker.exe            13136 Console                   27      6,252 K
svchost.exe                   9188 Console                   27      1,676 K
RuntimeBroker.exe            23688 Console                   27      3,024 K
msedgewebview2.exe            6668 Console                   27     19,012 K
msedgewebview2.exe           10676 Console                   27        512 K
msedgewebview2.exe           17120 Console                   27      6,464 K
msedgewebview2.exe            3772 Console                   27      7,208 K
msedgewebview2.exe           14300 Console                   27      1,920 K
ctfmon.exe                   21264 Console                   27     13,432 K
msedgewebview2.exe            9888 Console                   27      4,256 K
SecurityHealthSystray.exe     7716 Console                   27        956 K
TextInputHost.exe            23832 Console                   27     19,156 K
RtkAudUService64.exe          5092 Console                   27      2,216 K
WebCompanion.exe             16604 Console                   27      8,204 K
UnInstDaemon.exe             21944 Console                   27     11,568 K
chrome.exe                   16092 Console                   27     60,516 K
chrome.exe                   13852 Console                   27      1,316 K
chrome.exe                   15520 Console                   27     56,056 K
chrome.exe                   14048 Console                   27     20,088 K
chrome.exe                   22048 Console                   27      2,684 K
chrome.exe                   10572 Console                   27      4,120 K
chrome.exe                   17828 Console                   27   7,30,552 K
cmd.exe                      12292 Console                   27         52 K
conhost.exe                  18772 Console                   27        452 K
browserhost.exe              16176 Console                   27      1,144 K
chrome.exe                   18124 Console                   27      1,748 K
BingWallpaper.exe            15512 Console                   27     36,808 K
DesktopExtension.exe          7920 Console                   27      4,540 K
HP.myHP.exe                   5144 Console                   27      5,960 K
msedgewebview2.exe           16116 Console                   27     15,240 K
msedgewebview2.exe            2844 Console                   27        564 K
msedgewebview2.exe            7136 Console                   27      8,228 K
msedgewebview2.exe           18012 Console                   27      4,016 K
msedgewebview2.exe            1888 Console                   27      1,268 K
msedgewebview2.exe           22224 Console                   27      4,700 K
msedgewebview2.exe           24072 Console                   27     15,528 K
msedgewebview2.exe           21660 Console                   27        488 K
msedgewebview2.exe           24088 Console                   27      9,028 K
msedgewebview2.exe            7384 Console                   27      4,056 K
msedgewebview2.exe           21984 Console                   27      1,196 K
msedgewebview2.exe           21832 Console                   27     11,784 K
